Week,Trimester,Baby_Development,Mother_Changes,Calories,Protein,Iron,Calcium,Folate,Water_Intake,Exercise,Foods_To_Eat,Foods_To_Avoid,Medical_Checkups,Ultrasound,Warning_Signs,Sleep_Recommendation
11,First,External genitalia and bones develop.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
12,First,Reflexes begin and placenta supports hormones.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
13,First,Growth becomes more proportional.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
14,Second,Facial movements increase.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
15,Second,Skeleton ossification begins.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
16,Second,Limbs coordinate more.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
17,Second,Fat stores begin.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
18,Second,Ears position and movement may be felt soon.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
19,Second,Vernix starts coating skin.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
20,Second,Halfway point; swallowing increases.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
21,Second,Bone marrow blood formation grows.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
22,Second,Lungs branch and sound response improves.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
23,Second,Rapid brain and lung growth.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
24,Second,Surfactant production starts.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
25,Second,Sleep-wake cycles emerge.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
26,Second,Eyes may open.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
27,Second,Nervous system coordination improves.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
28,Third,Third trimester begins.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
29,Third,Muscles and lungs mature.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
30,Third,Brain folds deepen.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
31,Third,Rapid weight gain continues.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
32,Third,Bones formed but soft.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
33,Third,Maternal antibodies transfer.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
34,Third,Lungs mature further.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
35,Third,Kidneys and liver improve.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
36,Third,Baby may settle lower.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
37,Third,Early term coordination improves.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
38,Third,Final brain and fat development.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
39,Third,Full term organs ready.,"reflux, backache, leg cramps, swelling and sleep disruption may increase",About 450 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","protein each meal, iron with vitamin C, calcium foods, fiber and low-GI carbohydrates","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","more frequent visits, BP/urine checks, growth and fetal movement review",growth or position scan if clinically advised,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
