Food_ID,Food_Name,Rasa,Guna,Virya,Vipaka,Vata_Effect,Pitta_Effect,Kapha_Effect,Recommended_For,Avoid_For,Pregnancy_Recommendation
AY0020,Dragon fruit,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0021,Dates,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0022,Figs,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0023,Apricot,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0024,Pineapple,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0025,Avocado,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0026,Jamun,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0027,Spinach cooked,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0028,Fenugreek leaves,"Pungent, bitter","Light, sharp",Heating,Pungent,Pacifies in small amounts,May increase,Pacifies,"low appetite, kapha heaviness","acidity, heartburn, excess heat",Use food amounts only; avoid concentrated herbal dosing.
AY0029,Amaranth leaves,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0030,Drumstick leaves,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0031,Broccoli,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0032,Carrot,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0033,Beetroot,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0034,Sweet potato,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0035,Pumpkin,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0036,Bottle gourd,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0037,Ridge gourd,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0038,Bitter gourd,"Pungent, bitter","Light, sharp",Heating,Pungent,Pacifies in small amounts,May increase,Pacifies,"low appetite, kapha heaviness","acidity, heartburn, excess heat",Use food amounts only; avoid concentrated herbal dosing.
AY0039,Okra,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0040,French beans,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0041,Green peas,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0042,Cabbage,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0043,Cauliflower,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0044,Tomato,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0045,Capsicum,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0046,Cucumber,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0047,Zucchini,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0048,Mushroom cooked,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0049,Brinjal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0050,Mustard greens,"Pungent, bitter","Light, sharp",Heating,Pungent,Pacifies in small amounts,May increase,Pacifies,"low appetite, kapha heaviness","acidity, heartburn, excess heat",Use food amounts only; avoid concentrated herbal dosing.
AY0051,Asparagus,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0052,Kale cooked,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0053,Radish,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0054,Lotus stem,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0055,Moong dal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0056,Masoor dal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0057,Toor dal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0058,Chana dal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0059,Urad dal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0060,Rajma,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0061,Chickpeas,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0062,Black chana,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0063,Steamed moong sprouts,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0064,Soybeans,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0065,Lentil soup,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0066,Hummus,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0067,Horse gram,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0068,Moth beans,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0069,Cowpeas,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0070,Edamame,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0071,Split pea soup,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0072,Mixed dal,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0073,Pasteurized cow milk,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0074,Plain curd,"Sour, sweet","Light, moist",Cooling,Sweet,Pacifies,May increase if sour excess,Neutral,"nausea, appetite, iron absorption support",severe reflux or acidity,Use moderate portions; choose pasteurized dairy.
AY0075,Greek yogurt,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0076,Paneer pasteurized,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0077,Cheddar pasteurized,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0078,Mozzarella pasteurized,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0079,Buttermilk,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0080,Kefir pasteurized,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0081,Unsweetened lassi,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0082,Skim milk,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0083,Fortified soy milk,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0084,Fortified almond milk,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0085,Cottage cheese,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0086,Ricotta pasteurized,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0087,Brown rice,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0088,Red rice,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0089,Hand-pounded rice,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0090,Whole wheat roti,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0091,Jowar roti,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0092,Bajra roti,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0093,Ragi malt,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0094,Oats,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0095,Quinoa,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0096,Barley,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0097,Dalia,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0098,Millet khichdi,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0099,Buckwheat,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0100,Whole wheat pasta,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0101,Multigrain bread,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0102,Idli,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0103,Dosa,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0104,Poha with peanuts,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0105,Upma,"Astringent, sweet","Light, dry",Warming,Pungent,May increase,Neutral,Pacifies,"heaviness, swelling tendency, sluggish digestion","gas, dryness, severe constipation",Cook well with ghee/cumin; avoid if bloating worsens.
AY0106,Whole wheat paratha,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0107,Foxtail millet,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0108,Little millet,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0109,Almonds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0110,Walnuts,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0111,Cashews,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0112,Pistachios,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0113,Roasted peanuts,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0114,Sesame seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0115,Ground flax seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0116,Soaked chia seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0117,Pumpkin seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0118,Sunflower seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0119,Watermelon seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0120,Hemp seeds,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0121,Brazil nuts,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0122,Poppy seeds limited,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0123,Fresh coconut,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0124,Unsweetened peanut butter,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
AY0125,Makhana roasted,Sweet,"Heavy, unctuous",Cooling,Sweet,Pacifies,Pacifies,May increase,"fatigue, tissue nourishment, Vata balance",excess kapha or uncontrolled blood sugar,Suitable in moderation when fresh and hygienic.
