Symptom,Severity,Pregnancy_Trimester,Recommended_Foods,Foods_to_Avoid,Hydration_Recommendation,Lifestyle_Tips,Recommended_Nutrients,Medical_Notes
Nausea,Mild,Second,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor
Nausea,Moderate,Second,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor
Nausea,Severe,Second,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor; do not rely on diet alone
Nausea,Mild,Third,"idli, poha, applesauce, curd rice, coconut water","greasy foods, excess tea or coffee",cool fluids in small sips,avoid cooking odors; bland meals,"B6, electrolytes",review if intake is poor
Vomiting,Mild,First,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration
Vomiting,Moderate,First,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration
Vomiting,Severe,First,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration; do not rely on diet alone
Vomiting,Mild,Second,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration
Vomiting,Moderate,Second,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration
Vomiting,Severe,Second,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration; do not rely on diet alone
Vomiting,Mild,Third,"rice gruel, banana, dal water, ORS","spicy foods, sugary soda, heavy meals",ORS in tiny frequent sips,restart bland foods after episodes,"electrolytes, potassium",urgent care for dehydration
Acidity,Mild,First,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids
Acidity,Moderate,First,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids
Acidity,Severe,First,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids; do not rely on diet alone
Acidity,Mild,Second,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids
Acidity,Moderate,Second,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids
Acidity,Severe,Second,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids; do not rely on diet alone
Acidity,Mild,Third,"oats, banana, curd, bottle gourd, soft dal rice","chili, fried foods, citrus excess, chocolate","water through day, not huge meal-time volumes",small meals; avoid lying after food,"calcium, magnesium",ask before antacids
Constipation,Mild,First,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain
Constipation,Moderate,First,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain
Constipation,Severe,First,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain; do not rely on diet alone
Constipation,Mild,Second,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain
Constipation,Moderate,Second,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain
Constipation,Severe,Second,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain; do not rely on diet alone
Constipation,Mild,Third,"oats, fruits with peel, prunes, dal, vegetables, chia","maida snacks, excess cheese, dehydration",steady water; warm water may help,walk; increase fiber gradually,"fiber, magnesium",report bleeding or severe pain
Heartburn,Mild,First,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms
Heartburn,Moderate,First,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms
Heartburn,Severe,First,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms; do not rely on diet alone
Heartburn,Mild,Second,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms
Heartburn,Moderate,Second,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms
Heartburn,Severe,Second,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms; do not rely on diet alone
Heartburn,Mild,Third,"khichdi, oats, banana, steamed vegetables, lean protein","large late meals, fried foods, peppermint, caffeine",small sips; avoid fizzy triggers,elevate head; early dinner,"protein, calcium",review persistent symptoms
Fatigue,Mild,First,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked
Fatigue,Moderate,First,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked
Fatigue,Severe,First,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked; do not rely on diet alone
Fatigue,Mild,Second,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked
Fatigue,Moderate,Second,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked
Fatigue,Severe,Second,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked; do not rely on diet alone
Fatigue,Mild,Third,"dal, eggs, paneer, greens, nuts, whole grains","sugary snacks, skipped meals",water plus coconut water if suitable,prioritize sleep and short walks,"iron, B12, folate, protein",check anemia if marked
Anemia,Mild,First,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring
Anemia,Moderate,First,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring
Anemia,Severe,First,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring; do not rely on diet alone
Anemia,Mild,Second,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring
Anemia,Moderate,Second,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring
Anemia,Severe,Second,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring; do not rely on diet alone
Anemia,Mild,Third,"lentils, spinach, amaranth, dates, lean meat, citrus","tea/coffee with meals, junk food",hydrate well,pair plant iron with vitamin C,"iron, folate, B12, vitamin C",needs lab monitoring
Gestational diabetes,Mild,First,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan
Gestational diabetes,Moderate,First,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan
Gestational diabetes,Severe,First,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan; do not rely on diet alone
Gestational diabetes,Mild,Second,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan
Gestational diabetes,Moderate,Second,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan
Gestational diabetes,Severe,Second,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan; do not rely on diet alone
Gestational diabetes,Mild,Third,"millet roti, dal, paneer, eggs, vegetables, nuts","sweets, juice, refined rice portions",water and unsweetened fluids,plate method; walk after meals,"protein, fiber, magnesium",follow glucose plan
Hypertension,Mild,First,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes
Hypertension,Moderate,First,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes
Hypertension,Severe,First,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes; do not rely on diet alone
Hypertension,Mild,Second,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes
Hypertension,Moderate,Second,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes
Hypertension,Severe,Second,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes; do not rely on diet alone
Hypertension,Mild,Third,"low-salt dal, fruits, vegetables, curd, oats","pickles, papad, packaged snacks",regular water; avoid salty electrolyte drinks,monitor BP; left-side rest,"potassium, calcium, magnesium",urgent care for headache or vision changes
Swelling,Mild,First,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review
Swelling,Moderate,First,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review
Swelling,Severe,First,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review; do not rely on diet alone
Swelling,Mild,Second,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review
Swelling,Moderate,Second,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review
Swelling,Severe,Second,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review; do not rely on diet alone
Swelling,Mild,Third,"protein foods, cucumber, watermelon, citrus, low-salt meals","excess salt, packaged namkeen",do not restrict fluids,elevate feet; gentle walking,"protein, potassium",sudden swelling needs review
Stress,Mild,First,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent
Stress,Moderate,First,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent
Stress,Severe,First,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent; do not rely on diet alone
Stress,Mild,Second,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent
Stress,Moderate,Second,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent
Stress,Severe,Second,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent; do not rely on diet alone
Stress,Mild,Third,"warm milk, nuts, oats, banana, dal soup","excess caffeine, high sugar",warm non-caffeinated fluids,"breathing, prenatal yoga if approved","magnesium, omega-3, B vitamins",seek mental health support if persistent
Anxiety,Mild,First,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic
Anxiety,Moderate,First,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic
Anxiety,Severe,First,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic; do not rely on diet alone
Anxiety,Mild,Second,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic
Anxiety,Moderate,Second,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic
Anxiety,Severe,Second,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic; do not rely on diet alone
Anxiety,Mild,Third,"oats, curd, almonds, walnuts, lentils","energy drinks, excess caffeine",steady hydration,sleep routine and support,"magnesium, B6",professional support for panic
Insomnia,Mild,First,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia
Insomnia,Moderate,First,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia
Insomnia,Severe,First,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia; do not rely on diet alone
Insomnia,Mild,Second,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia
Insomnia,Moderate,Second,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia
Insomnia,Severe,Second,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia; do not rely on diet alone
Insomnia,Mild,Third,"warm milk, banana, oats, light khichdi","caffeine late, heavy spicy dinner",small evening sips,consistent bedtime; left-side sleep,"magnesium, calcium",review severe insomnia
Back pain,Mild,First,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain
Back pain,Moderate,First,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain
Back pain,Severe,First,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain; do not rely on diet alone
Back pain,Mild,Second,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain
Back pain,Moderate,Second,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain
Back pain,Severe,Second,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain; do not rely on diet alone
Back pain,Mild,Third,"dairy, sesame, ragi, greens, eggs, fish","very low protein diets, excess sugar",water with activity,"stretching, posture support","calcium, vitamin D, protein",evaluate severe pain
Leg cramps,Mild,First,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent
Leg cramps,Moderate,First,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent
Leg cramps,Severe,First,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent; do not rely on diet alone
Leg cramps,Mild,Second,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent
Leg cramps,Moderate,Second,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent
Leg cramps,Severe,Second,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent; do not rely on diet alone
Leg cramps,Mild,Third,"banana, coconut water, curd, sesame, nuts","dehydration, excess caffeine",consistent hydration,calf stretching before bed,"magnesium, calcium, potassium",one-sided swelling is urgent
Low appetite,Mild,First,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss
Low appetite,Moderate,First,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss
Low appetite,Severe,First,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss; do not rely on diet alone
Low appetite,Mild,Second,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss
Low appetite,Moderate,Second,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss
Low appetite,Severe,Second,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss; do not rely on diet alone
Low appetite,Mild,Third,"smoothies, dal soup, curd rice, nuts, fruit",large fried meals,nourishing fluids between meals,small scheduled meals,"protein, zinc, B vitamins",review weight loss
Headache,Mild,First,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes
Headache,Moderate,First,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes
Headache,Severe,First,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes; do not rely on diet alone
Headache,Mild,Second,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes
Headache,Moderate,Second,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes
Headache,Severe,Second,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes; do not rely on diet alone
Headache,Mild,Third,"regular meals, banana, curd, nuts, whole grains","skipped meals, dehydration, salty foods",water or ORS if dehydrated,rest; check BP,"magnesium, fluids",urgent if severe or vision changes
Dehydration,Mild,First,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine
Dehydration,Moderate,First,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine
Dehydration,Severe,First,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine; do not rely on diet alone
Dehydration,Mild,Second,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine
Dehydration,Moderate,Second,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine
Dehydration,Severe,Second,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine; do not rely on diet alone
Dehydration,Mild,Third,"ORS, coconut water, soups, cucumber, curd rice","sugary soda, excess caffeine",frequent small sips,track urine; cool rest,"electrolytes, fluids",urgent for dizziness or very low urine
