Food_ID,Food_Name,State,Meal_Type,Ingredients,Calories,Protein,Carbohydrates,Fat,Fiber,Iron,Calcium,Folate,Serving_Size,Vegetarian,Pregnancy_Safe,Best_Trimester,Ayurvedic_Nature
IF0011,Karnataka Dal rice plate,Karnataka,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0012,Karnataka Curd rice bowl,Karnataka,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0013,Karnataka Vegetable roti meal,Karnataka,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0014,Karnataka Steamed snack plate,Karnataka,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0015,Karnataka Nourishing beverage,Karnataka,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0016,Ragi mudde,Karnataka,Lunch,"finger millet, sambar",250,8,40,6,9,5.5,290,55,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0017,Kerala Idli with sambar,Kerala,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0018,Kerala Millet khichdi,Kerala,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0019,Kerala Dal rice plate,Kerala,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0020,Kerala Curd rice bowl,Kerala,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0021,Kerala Vegetable roti meal,Kerala,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0022,Kerala Steamed snack plate,Kerala,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0023,Kerala Nourishing beverage,Kerala,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0024,Appam with stew,Kerala,Breakfast,"rice appam, coconut vegetable stew",250,8,40,6,5,2,70,55,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0025,Andhra Pradesh Idli with sambar,Andhra Pradesh,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0026,Andhra Pradesh Millet khichdi,Andhra Pradesh,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0027,Andhra Pradesh Dal rice plate,Andhra Pradesh,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0028,Andhra Pradesh Curd rice bowl,Andhra Pradesh,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0029,Andhra Pradesh Vegetable roti meal,Andhra Pradesh,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0030,Andhra Pradesh Steamed snack plate,Andhra Pradesh,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0031,Andhra Pradesh Nourishing beverage,Andhra Pradesh,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0032,Telangana Idli with sambar,Telangana,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0033,Telangana Millet khichdi,Telangana,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0034,Telangana Dal rice plate,Telangana,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0035,Telangana Curd rice bowl,Telangana,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0036,Telangana Vegetable roti meal,Telangana,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0037,Telangana Steamed snack plate,Telangana,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0038,Telangana Nourishing beverage,Telangana,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0039,Maharashtra Idli with sambar,Maharashtra,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0040,Maharashtra Millet khichdi,Maharashtra,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0041,Maharashtra Dal rice plate,Maharashtra,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0042,Maharashtra Curd rice bowl,Maharashtra,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0043,Maharashtra Vegetable roti meal,Maharashtra,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0044,Maharashtra Steamed snack plate,Maharashtra,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0045,Maharashtra Nourishing beverage,Maharashtra,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0046,Poha,Maharashtra,Breakfast,"flattened rice, peanuts, peas",250,8,40,6,5,2,70,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0047,Gujarat Idli with sambar,Gujarat,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0048,Gujarat Millet khichdi,Gujarat,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0049,Gujarat Dal rice plate,Gujarat,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0050,Gujarat Curd rice bowl,Gujarat,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0051,Gujarat Vegetable roti meal,Gujarat,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0052,Gujarat Steamed snack plate,Gujarat,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0053,Gujarat Nourishing beverage,Gujarat,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0054,Dhokla,Gujarat,Snack,"fermented besan, mustard",250,8,40,6,5,2,70,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0055,Rajasthan Idli with sambar,Rajasthan,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0056,Rajasthan Millet khichdi,Rajasthan,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0057,Rajasthan Dal rice plate,Rajasthan,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0058,Rajasthan Curd rice bowl,Rajasthan,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0059,Rajasthan Vegetable roti meal,Rajasthan,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0060,Rajasthan Steamed snack plate,Rajasthan,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0061,Rajasthan Nourishing beverage,Rajasthan,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0062,Punjab Idli with sambar,Punjab,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0063,Punjab Millet khichdi,Punjab,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0064,Punjab Dal rice plate,Punjab,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0065,Punjab Curd rice bowl,Punjab,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0066,Punjab Vegetable roti meal,Punjab,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0067,Punjab Steamed snack plate,Punjab,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0068,Punjab Nourishing beverage,Punjab,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0069,Rajma chawal,Punjab,Lunch,"kidney beans, rice",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0070,Haryana Idli with sambar,Haryana,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0071,Haryana Millet khichdi,Haryana,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0072,Haryana Dal rice plate,Haryana,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0073,Haryana Curd rice bowl,Haryana,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0074,Haryana Vegetable roti meal,Haryana,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0075,Haryana Steamed snack plate,Haryana,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0076,Haryana Nourishing beverage,Haryana,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0077,Bihar Idli with sambar,Bihar,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0078,Bihar Millet khichdi,Bihar,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0079,Bihar Dal rice plate,Bihar,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0080,Bihar Curd rice bowl,Bihar,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0081,Bihar Vegetable roti meal,Bihar,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0082,Bihar Steamed snack plate,Bihar,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0083,Bihar Nourishing beverage,Bihar,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0084,West Bengal Idli with sambar,West Bengal,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0085,West Bengal Millet khichdi,West Bengal,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0086,West Bengal Dal rice plate,West Bengal,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0087,West Bengal Curd rice bowl,West Bengal,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0088,West Bengal Vegetable roti meal,West Bengal,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0089,West Bengal Steamed snack plate,West Bengal,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0090,West Bengal Nourishing beverage,West Bengal,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0091,Moong dal khichuri,West Bengal,Lunch,"rice, moong dal, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0092,Odisha Idli with sambar,Odisha,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0093,Odisha Millet khichdi,Odisha,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0094,Odisha Dal rice plate,Odisha,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0095,Odisha Curd rice bowl,Odisha,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0096,Odisha Vegetable roti meal,Odisha,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0097,Odisha Steamed snack plate,Odisha,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0098,Odisha Nourishing beverage,Odisha,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0099,Assam Idli with sambar,Assam,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0100,Assam Millet khichdi,Assam,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0101,Assam Dal rice plate,Assam,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0102,Assam Curd rice bowl,Assam,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0103,Assam Vegetable roti meal,Assam,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0104,Assam Steamed snack plate,Assam,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0105,Assam Nourishing beverage,Assam,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0106,Manipur Idli with sambar,Manipur,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0107,Manipur Millet khichdi,Manipur,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0108,Manipur Dal rice plate,Manipur,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0109,Manipur Curd rice bowl,Manipur,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0110,Manipur Vegetable roti meal,Manipur,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0111,Manipur Steamed snack plate,Manipur,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0112,Manipur Nourishing beverage,Manipur,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0113,Meghalaya Idli with sambar,Meghalaya,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0114,Meghalaya Millet khichdi,Meghalaya,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0115,Meghalaya Dal rice plate,Meghalaya,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0116,Meghalaya Curd rice bowl,Meghalaya,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0117,Meghalaya Vegetable roti meal,Meghalaya,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0118,Meghalaya Steamed snack plate,Meghalaya,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0119,Meghalaya Nourishing beverage,Meghalaya,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0120,Mizoram Idli with sambar,Mizoram,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0121,Mizoram Millet khichdi,Mizoram,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0122,Mizoram Dal rice plate,Mizoram,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0123,Mizoram Curd rice bowl,Mizoram,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0124,Mizoram Vegetable roti meal,Mizoram,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0125,Mizoram Steamed snack plate,Mizoram,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0126,Mizoram Nourishing beverage,Mizoram,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0127,Nagaland Idli with sambar,Nagaland,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0128,Nagaland Millet khichdi,Nagaland,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0129,Nagaland Dal rice plate,Nagaland,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0130,Nagaland Curd rice bowl,Nagaland,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0131,Nagaland Vegetable roti meal,Nagaland,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0132,Nagaland Steamed snack plate,Nagaland,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0133,Nagaland Nourishing beverage,Nagaland,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
